id,year_month,uf,product,unit,volume,created_at
84,2013-01-01,AM,OLEO DIESEL MARITIMO,m3,8964.348,2022-06-14 09:28:16.189637-03
85,2013-01-01,RR,OLEO DIESEL MARITIMO,m3,70,2022-06-14 09:28:16.189637-03
86,2013-01-01,PA,OLEO DIESEL MARITIMO,m3,7856,2022-06-14 09:28:16.189637-03
87,2013-01-01,AP,OLEO DIESEL MARITIMO,m3,100,2022-06-14 09:28:16.189637-03
88,2013-01-01,TO,OLEO DIESEL MARITIMO,m3,0,2022-06-14 09:28:16.189637-03
89,2013-01-01,MA,OLEO DIESEL MARITIMO,m3,797,2022-06-14 09:28:16.189637-03
90,2013-01-01,PI,OLEO DIESEL MARITIMO,m3,130,2022-06-14 09:28:16.189637-03
91,2013-01-01,CE,OLEO DIESEL MARITIMO,m3,400,2022-06-14 09:28:16.189637-03
92,2013-01-01,RN,OLEO DIESEL MARITIMO,m3,9349,2022-06-14 09:28:16.189637-03
93,2013-01-01,PB,OLEO DIESEL MARITIMO,m3,141,2022-06-14 09:28:16.189637-03
94,2013-01-01,PE,OLEO DIESEL MARITIMO,m3,1068,2022-06-14 09:28:16.189637-03
95,2013-01-01,AL,OLEO DIESEL MARITIMO,m3,83,2022-06-14 09:28:16.189637-03
96,2013-01-01,SE,OLEO DIESEL MARITIMO,m3,284,2022-06-14 09:28:16.189637-03
97,2013-01-01,BA,OLEO DIESEL MARITIMO,m3,2197.058,2022-06-14 09:28:16.189637-03
98,2013-01-01,MG,OLEO DIESEL MARITIMO,m3,0,2022-06-14 09:28:16.189637-03
99,2013-01-01,ES,OLEO DIESEL MARITIMO,m3,4046.941,2022-06-14 09:28:16.189637-03
100,2013-01-01,RJ,OLEO DIESEL MARITIMO,m3,28093.381,2022-06-14 09:28:16.189637-03
101,2013-01-01,SP,OLEO DIESEL MARITIMO,m3,2842.04,2022-06-14 09:28:16.189637-03
102,2013-01-01,PR,OLEO DIESEL MARITIMO,m3,603.9,2022-06-14 09:28:16.189637-03
103,2013-01-01,SC,OLEO DIESEL MARITIMO,m3,4834,2022-06-14 09:28:16.189637-03
104,2013-01-01,RS,OLEO DIESEL MARITIMO,m3,1818,2022-06-14 09:28:16.189637-03
105,2013-01-01,MS,OLEO DIESEL MARITIMO,m3,810,2022-06-14 09:28:16.189637-03
106,2013-01-01,MT,OLEO DIESEL MARITIMO,m3,0,2022-06-14 09:28:16.189637-03
107,2013-01-01,GO,OLEO DIESEL MARITIMO,m3,0,2022-06-14 09:28:16.189637-03
108,2013-01-01,DF,OLEO DIESEL MARITIMO,m3,0,2022-06-14 09:28:16.189637-03
109,2013-01-01,RO,OLEO DIESEL (OUTROS ),m3,10,2022-06-14 09:28:16.189637-03
110,2013-01-01,AC,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
111,2013-01-01,AM,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
112,2013-01-01,RR,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
113,2013-01-01,PA,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
114,2013-01-01,AP,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
115,2013-01-01,TO,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
116,2013-01-01,MA,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
117,2013-01-01,PI,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
118,2013-01-01,CE,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
119,2013-01-01,RN,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
120,2013-01-01,PB,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
121,2013-01-01,PE,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
122,2013-01-01,AL,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
123,2013-01-01,SE,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
124,2013-01-01,BA,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
125,2013-01-01,MG,OLEO DIESEL (OUTROS ),m3,2.491,2022-06-14 09:28:16.189637-03
